Trait,Model,SNPs,R2,RMSE,PearsonR,Source
tkw,XGBoost,100,0.2139,3.8797,0.4730,res/base/tkw/results.txt
tkw,LightGBM,100,0.2636,3.7551,0.5143,res/base/tkw/results.txt
tkw,Lasso,100,0.2268,3.8477,0.4788,res/base/tkw/results.txt
tkw,RandomForest,7000,0.3173,3.6156,0.5707,res/base/tkw/results.txt
tkw,XGBoost,7000,0.2715,3.7349,0.5954,res/base/tkw/results.txt
tkw,LightGBM,7000,0.3341,3.5709,0.5801,res/base/tkw/results.txt
tkw,Lasso,7000,0.3528,3.5204,0.5951,res/base/tkw/results.txt
tkw,RandomForest,1000,0.2476,3.7957,0.5010,res/base/tkw/results.txt
tkw,XGBoost,1000,0.2642,3.7534,0.5727,res/base/tkw/results.txt
tkw,LightGBM,1000,0.3171,3.6160,0.5639,res/base/tkw/results.txt
tkw,Lasso,1000,0.3227,3.6011,0.5704,res/base/tkw/results.txt
tkw,RandomForest,3000,0.2419,3.8100,0.4951,res/base/tkw/results.txt
tkw,XGBoost,3000,0.3111,3.6319,0.5597,res/base/tkw/results.txt
tkw,LightGBM,3000,0.2559,3.7747,0.5156,res/base/tkw/results.txt
tkw,Lasso,3000,0.3117,3.6303,0.5599,res/base/tkw/results.txt
tkw,RandomForest,5000,0.2880,3.6923,0.5455,res/base/tkw/results.txt
tkw,XGBoost,5000,0.2649,3.7517,0.5858,res/base/tkw/results.txt
tkw,LightGBM,5000,0.3129,3.6272,0.5617,res/base/tkw/results.txt
tkw,Lasso,5000,0.3467,3.5367,0.5920,res/base/tkw/results.txt
kernelspikelet,RandomForest,100,0.1407,0.2384,0.3920,res/base/kernelspikelet/results.txt
kernelspikelet,XGBoost,100,0.1142,0.2421,0.3575,res/base/kernelspikelet/results.txt
kernelspikelet,LightGBM,100,0.1179,0.2416,0.3638,res/base/kernelspikelet/results.txt
kernelspikelet,Lasso,100,0.1205,0.2412,0.3678,res/base/kernelspikelet/results.txt
kernelspikelet,RandomForest,7000,0.2846,0.2176,0.5497,res/base/kernelspikelet/results.txt
kernelspikelet,XGBoost,7000,0.2670,0.2202,0.5343,res/base/kernelspikelet/results.txt
kernelspikelet,LightGBM,7000,0.3219,0.2118,0.5818,res/base/kernelspikelet/results.txt
kernelspikelet,Lasso,7000,0.2953,0.2159,0.5604,res/base/kernelspikelet/results.txt
kernelspikelet,RandomForest,1000,0.2436,0.2237,0.5042,res/base/kernelspikelet/results.txt
kernelspikelet,XGBoost,1000,0.2324,0.2254,0.4971,res/base/kernelspikelet/results.txt
kernelspikelet,LightGBM,1000,0.1977,0.2304,0.4661,res/base/kernelspikelet/results.txt
kernelspikelet,Lasso,1000,0.2456,0.2234,0.5089,res/base/kernelspikelet/results.txt
kernelspikelet,RandomForest,3000,0.2986,0.2154,0.5609,res/base/kernelspikelet/results.txt
kernelspikelet,XGBoost,3000,0.2959,0.2158,0.5581,res/base/kernelspikelet/results.txt
kernelspikelet,LightGBM,3000,0.2898,0.2168,0.5580,res/base/kernelspikelet/results.txt
kernelspikelet,Lasso,3000,0.2499,0.2228,0.5152,res/base/kernelspikelet/results.txt
kernelspikelet,RandomForest,5000,0.2457,0.2234,0.5124,res/base/kernelspikelet/results.txt
kernelspikelet,XGBoost,5000,0.3082,0.2139,0.5667,res/base/kernelspikelet/results.txt
kernelspikelet,LightGBM,5000,0.3325,0.2102,0.5870,res/base/kernelspikelet/results.txt
kernelspikelet,Lasso,5000,0.2799,0.2183,0.5422,res/base/kernelspikelet/results.txt
Mature,RandomForest,100,0.2471,1.3430,0.5622,res/base/Mature/results.txt
Mature,XGBoost,100,0.2659,1.3262,0.5174,res/base/Mature/results.txt
Mature,LightGBM,100,0.2535,1.3373,0.5047,res/base/Mature/results.txt
Mature,Lasso,100,0.2704,1.3221,0.5372,res/base/Mature/results.txt
Mature,RandomForest,7000,0.2146,1.3717,0.4941,res/base/Mature/results.txt
Mature,XGBoost,7000,0.3080,1.2876,0.5580,res/base/Mature/results.txt
Mature,LightGBM,7000,0.2957,1.2990,0.5515,res/base/Mature/results.txt
Mature,Lasso,7000,0.1649,1.4145,0.4535,res/base/Mature/results.txt
Mature,RandomForest,1000,0.2326,1.3559,0.4981,res/base/Mature/results.txt
Mature,XGBoost,1000,0.3233,1.2733,0.5740,res/base/Mature/results.txt
